id,namekey,soldierid
E4D9D393,29/2/E1/1,
5401D293,29/207/1,481043
6493D193,29/202/3,
6485DB93,29/119/1,465198
F4CECB93,29/109/3,503207
0480DC93,29/112/1,492074
0442D093,29/212/3,512995
748DCC93,29/202/2,455022
1455DD93,29/103/1,507566
A44F4494,29/212/1,514335
9470CB93,29/106/1,513088
74D5F393,29/218/1,478271
644EDE93,29/102/3,
6484CD93,29/116/2,
D4EED893,29/1/E2/1,
64A83494,29/209/3,509420
84074894,29/103/3,506217
04783C94,29/2/E1/2,
3406CE93,29/115/3,514429
9451F093,29/119/2,472724
F458D193,29/1/E2/3,
947AE693,29/108/2,497834
848BCD93,29/113/2,509505
043BDE93,29/213/1,507807
B454DE93,29/111/2,500608
A4A7D793,29/220/1,476100
E422CC93,29/212/2,513965
7495CF93,29/211/2,497745
E4C9DE93,29/118/1,447403
F4BAD993,29/104/3,509424
C4B6D493,29/104/2,512927
34DCD793,29/106/2,509828
44FADE93,29/103/2,507550
049FCA93,29/2/E2/2,
A4E4D593,29/114/3,496247
746DDB93,29/220/3,
84D8DC93,29/113/1,478585
3494D493,29/117/1,497124
F45DDC93,29/204/1,432816
C49ACC93,29/201/3,
6450DF93,29/112/2,493357
44EFCA93,29/102/2,459839
B4353494,29/108/1,496669
540F3794,29/208/3,492346
4400D793,29/D2/1,
84EED193,29/215/3,497139
7459D393,29/211/1,485800
14014094,29/208/1,454753
14E2DB93,29/113/3,496307
A446D593,29/206/1,459106
A4A6D693,29/216/2,519406
A48F3694,29/117/3,514546
B46DDC93,29/201/2,437354
14A7D993,29/105/1,464924
A496CF93,29/205/2,496955
1414CD93,29/116/3,
E4DFD293,29/210/1,446010
546DCC93,29/119/3,469557
2414CF93,29/110/3,505729
D4FC3894,29/214/3,507538
548FCE93,29/2/E1/3,
C4693894,29/1/E1/2,
8452DA93,29/218/2,458151
74E7D793,29/115/1,464329
54E2ED93,29/203/2,433771
C4BEDA93,29/110/2,501252
84E4D593,29/214/1,497481
048DD993,29/105/2,513252
F4ABCB93,29/115/2,464152
64AFCA93,29/114/1,447403
1498CA93,29/207/2,493412
342DD793,29/114/2,496247
54163894,29/106/3,509664
64B7D993,29/107/3,519186
A4F83594,29/D2/3,
44EB4094,29/D2/2,
F431CC93,29/1/E1/1,
544BF193,29/219/3,
B4AFD793,29/216/1,517872
947DD393,29/111/1,513721
94B93694,29/205/1,415170
F497D293,29/108/3,476772
742AD793,29/120/1,496313
6455DF93,29/118/2,518229
D42CCC93,29/210/2,506340
C4EAD893,29/109/1,478576
C405DD93,29/2/E2/3,
0410CD93,29/209/1,508348
4474D193,29/217/3,
24A04794,29/105/3,507699
B48BCC93,29/1/E2/2,
2468D693,29/101/2,453359
748ACA93,29/206/3,
14503594,29/120/3,514346
2424E593,29/117/2,519045
C414D993,29/208/2,469156
E42ECC93,29/2/E2/1,
74C4D093,29/D1/1,
E44FD093,29/120/2,443646
C424CF93,29/211/3,490699
C47BD493,29/109/2,496914
547CDD93,29/215/2,486000
2467D693,29/217/1,485963
241BCD93,29/118/3,508172
646BD693,29/1/E1/3,
3460CB93,29/204/3,
740D3794,29/213/3,508682
D47DD893,30/101/2,450260
A448CB93,30/105/2,507715
C44ED593,30/118/1,509805
C4EAD393,30/D2/2,
944BDF93,30/202/2,482154
E414D593,30/216/3,
C42ED293,30/109/1,500524
1452DB93,30/117/1,501407
043FD393,30/119/1,485276
C4D64194,30/201/2,491929
6407CE93,30/204/2,503306
A49BD693,30/218/1,481859
245DDF93,30/112/1,513938
F4953A94,30/113/3,481705
1459D793,30/D2/3,
1000000,30/1/E1/3,
446DDC93,30/217/2,492234
A4B73994,30/206/3,502070
24BFD793,30/216/1,497871
0449DE93,30/219/2,514451
F4A7D293,30/217/3,501851
64F83E94,30/214/1,485600
A4DAD593,30/114/1,492252
1474CD93,30/110/1,513443
A467D693,30/218/2,482496
9453CB93,30/110/2,509928
B4FBDE93,30/D1/1,
84F8CA93,30/218/3,518303
E4C1CA93,30/213/1,501425
F46DD393,30/119/2,429530
544A4594,30/1/E2/2,
7407CE93,30/204/3,475050
1460CB93,30/108/3,492513
248A3694,30/2/E2/3,
94AE4494,30/119/3,
D444D793,30/103/3,491907
0421CC93,30/D1/3,
F40ECB93,30/202/3,482349
74464694,30/103/2,500818
349CCA93,30/104/1,519659
84B1CA93,30/1/E1/1,
74C94694,30/208/2,434488
748DCD93,30/203/2,496827
A4A4D693,30/220/2,508030
840DD793,30/207/1,513027
44B13494,30/111/3,443815
54F5CA93,30/120/2,441628
04C83D94,30/107/1,496720
64A8F393,30/210/2,501145
443AD893,30/202/1,497314
F41ECD93,30/206/2,518661
44E3D093,30/215/3,
F481D893,30/108/2,481195
0411CF93,30/208/3,
3402D293,30/104/3,487503
F491CD93,30/116/1,456318
7475DD93,30/111/2,422181
2478D393,30/219/1,490907
94A6D293,30/115/1,505406
C4F83594,30/105/1,513694
C440D393,30/102/1,509191
54A4DE93,30/211/2,500852
C4B34494,30/1/E2/3,
84434594,30/212/1,519822
B471DE93,30/114/3,513639
B4E1DD93,30/212/2,519350
B4F7D193,30/220/3,503513
3414CB93,30/113/2,500801
24FFDB93,30/117/3,500836
B450D193,30/107/2,476484
6463CB93,30/205/3,519927
5411CD93,30/206/1,496586
2476CE93,30/101/1,442768
94B4CA93,30/106/3,513635
04C5CB93,30/2/E2/1,
5483CE93,30/215/1,492649
44B2DA93,30/201/1,481586
E45F3694,30/209/3,500473
F464DD93,30/D1/2,
A4B04494,30/115/3,501341
A452D393,30/1/E1/2,
844DD593,30/109/2,502013
E40ECB93,30/105/3,499559
1484D993,30/108/1,481860
D45FDC93,30/220/1,478088
8409D693,30/120/3,
D4F1DC93,30/211/3,501105
84FEDD93,30/103/1,497845
34BADA93,30/212/3,514411
14FFCC93,30/102/2,500865
04EBD793,30/106/2,512897
7485CD93,30/104/2,519670
047FCC93,30/102/3,485740
D46FD493,30/2/E2/2,
D418DF93,30/201/3,507202
9429D593,30/207/2,506456
D47DCD93,30/112/2,508312
C47FD193,30/217/1,500558
D448D093,30/116/2,500972
146FDD93,30/207/3,494223
04E4DB93,30/215/2,467527
A4DAD393,30/2/E1/1,
24CFCB93,30/112/3,478433
0448DE93,30/118/3,505536
54BADA93,30/203/1,499431
C47EDD93,30/111/1,472491
A4E9D093,30/219/3,501462
F45E4394,30/2/E1/2,
8445D793,30/118/2,509728
E442D093,30/203/3,514523
84F2D093,30/210/1,518677
B404E893,30/2/E1/3,
D476D393,30/110/3,336497
0457D393,30/1/E2/1,
3450DB93,30/114/2,507675
241CD093,30/209/2,503205
648FCE93,30/205/1,459243
6496CC93,30/109/3,513520
D4564494,30/204/1,477832
F4C8D293,30/117/2,500704
44A8D693,30/115/2,514529
9474E693,30/101/3,
B47FD893,30/208/1,482466
F4B8D993,30/205/2,500597
B400DF93,30/214/2,
4444194,30/209/1,478453
C4FECA93,30/213/3,472758
A4714594,30/116/3,493142
64DDD593,30/211/1,506372
64C0DE93,30/113/1,494152
34F6CD93,30/210/3,508997
E45BDC93,30/216/2,486889
74AFCF93,30/213/2,472536
74CAD593,30/107/3,508766
A41BD793,30/106/1,506865
F4F53594,30/D2/1,
E432CC93,30/214/3,497028
B4A6F493,30/120/1,459217
84ADD793,31/110/3,464256
B4BEE393,31/201/2,434562
B4C5CB93,31/104/3,485972
3490CE93,31/113/3,464267
F4A93994,31/117/1,505534
7448D393,31/104/2,482078
5471F493,31/D1/1,
24EDE793,31/206/1,418436
8494D493,31/110/1,431471
54F0CD93,31/201/3,
2465D693,31/218/3,341369
64B9EF93,31/109/2,199791
4593794,31/216/1,221785
C487DB93,31/215/3,
A49ACD93,31/212/2,
54104194,31/111/2,486003
A4C3EA93,31/111/1,467989
A434D593,31/116/1,513061
B472D693,31/216/2,359361
A4C5EA93,31/217/1,472429
746DDC93,31/D2/2,
B41ACC93,31/203/1,481063
94E94594,31/D2/1,
3490CD93,31/107/1,498325
14BDE293,31/104/1,514324
945BCB93,31/119/1,492111
040D3E94,31/211/1,360359
243FED93,31/210/2,429819
2406CB93,31/2/E2/2,
94694694,31/116/2,496935
74F73F94,31/202/1,334644
743AD593,31/207/2,472823
0477F393,31/205/3,
6451CB93,31/209/3,
4458F293,31/207/3,
6445DA93,31/203/2,355490
D4544294,31/115/2,482358
F4C0D793,31/103/1,495808
5433CC93,31/118/3,481191
44F4DD93,31/119/3,486555
4454F293,31/214/2,393277
1477E993,31/212/3,
4483CD93,31/116/3,486897
E456D393,31/2/E1/3,
04E3E893,31/215/2,450874
B4673894,31/213/3,
74DBF093,31/203/3,
F41CF193,31/110/2,492323
2444E893,31/1/E2/2,
B4BAE393,31/106/3,491955
C436E093,31/113/1,176046
24EDDA93,31/213/1,382243
645FD193,31/1/E1/2,
7443DE93,31/214/1,361616
C41CDF93,31/211/2,375305
1478D493,31/208/1,439151
1401D493,31/220/3,
64EED093,31/208/2,433879
D4F3E093,31/219/1,316326
C471DE93,31/112/1,477224
4451DE93,31/205/1,417332
84C44594,31/218/1,411811
74B3CB93,31/117/2,496309
D4FDD593,31/106/1,501774
24B3D993,31/107/3,507018
844ED193,31/106/2,506898
8487CD93,31/112/2,486611
6468DE93,31/119/2,477205
5494CD93,31/115/1,513210
E438D893,31/118/1,492557
9482D993,31/204/3,207449
C4194394,31/105/1,493028
E43DDE93,31/108/3,451732
D4BFDF93,31/1/E2/1,
3479CE93,31/2/E2/1,
E466DF93,31/218/2,469262
7435CC93,31/108/1,481895
2413F293,31/1/E1/3,
C4CF3D94,31/202/3,
24BBF493,31/213/2,373817
B4CFDC93,31/102/3,497575
9435D593,31/102/1,493230
5405D293,31/2/E1/1,
64EDCC93,31/210/1,457775
94E8DD93,31/205/2,186714
640E3594,31/207/1,469176
446FCD93,31/102/2,493502
942DE493,31/120/1,500773
C46BF493,31/101/3,503412
646C3994,31/202/2,501674
B430CF93,31/105/2,492162
64B7EF93,31/108/2,456552
A43AD093,31/112/3,
D47FD493,31/107/2,509250
944FF093,31/101/1,496387
B4B5CB93,31/214/3,
743DE293,31/209/2,
14ABCC93,31/109/3,
147ACD93,31/206/2,447402
D47FCD93,31/115/3,444115
942BCF93,31/208/3,
F465DE93,31/109/1,311577
D44DDE93,31/D1/2,
9424CC93,31/118/2,513627
1400DC93,31/120/3,486490
34C5DA93,31/212/1,222374
E460D693,31/D2/3,
F428D593,31/220/2,174181
747ED493,31/103/2,477005
1470D193,31/211/3,
C41DEF93,31/204/2,476791
B4BEDF93,31/215/1,435720
3470CD93,31/113/2,446034
E436D393,31/2/E1/2,
64CEDE93,31/114/1,330193
34D9E493,31/114/3,447085
2427D293,31/2/E2/3,
64D9F393,31/216/3,175778
4432D293,31/111/3,
8440F393,31/D1/3,
749ECB93,31/120/2,507066
4451DC93,31/117/3,
D46DD493,31/217/3,445978
94E03D94,31/114/2,397279
B4714594,31/1/E2/3,
142DCC93,31/210/3,
9445CB93,31/206/3,
34C64694,31/219/3,
6432E993,31/204/1,442964
B477CE93,31/101/2,483789
24DCDB93,31/209/1,432465
54D0DB93,31/219/2,455338
F48BD493,31/1/E1/1,
741FEA93,31/217/2,347528
A4C93794,31/220/1,152015
F4B2D493,31/103/3,485650
148FF493,31/105/3,514159
4431CC93,31/201/1,410162
24C1EF93,32/210/4,977770
34A24894,32/107/2,916367
347FDB93,32/205/4,548990
5431CC93,32/117/4,
2476D893,32/215/3,231513
3400D293,32/111/2,039904
6476CD93,32/119/4,812007
64ADCB93,32/215/4,319034
543AD593,32/112/3,336185
6442E193,32/216/4,392597
D43FD093,32/106/2,463607
6479CC93,32/D1/3,
4457DE93,32/220/2,
B4E93994,32/2/E1/1,
346B3594,32/109/4,211169
C485D193,32/108/1,450810
14F7CC93,32/102/2,113638
C414DA93,32/101/4,884574
84EFD593,32/118/3,732211
543F4294,32/119/1,389199
946D4694,32/118/4,666752
8410CB93,32/212/3,488623
54DDD393,32/202/3,
444BDC93,32/219/1,
34C0DF93,32/113/2,062727
E468CD93,32/D1/1,
44DFD893,32/220/3,
645FD893,32/2/E2/3,
944EDF93,32/109/3,417007
F413CE93,32/101/3,589457
B478CD93,32/119/2,523384
64C84694,32/1/E1/1,
C44DE493,32/120/3,185919
94B8D093,32/215/1,585051
B4E1D593,32/209/2,307201
747ACC93,32/102/4,366426
94A2F093,32/206/4,747089
345ECB93,32/110/1,975913
4479DB93,32/213/1,809607
B40CCE93,32/211/3,571758
D4A9E193,32/115/4,876731
94D4DC93,32/107/1,822116
04BFE493,32/218/4,250972
14FED893,32/120/2,345010
94B9E193,32/112/4,918691
A486DD93,32/104/3,
B486D693,32/203/2,181828
44DDD893,32/113/3,544064
34ACD093,32/106/3,162351
743ACF93,32/115/1,112004
7491CA93,32/102/1,261299
44D3DD93,32/208/4,838661
A4F8DA93,32/108/3,083806
C41BEF93,32/204/4,370004
E418DF93,32/110/3,841824
B466CB93,32/1/E2/3,
1463D693,32/216/1,825108
8409DD93,32/103/3,960641
641CCF93,32/102/3,128987
1413CF93,32/2/E1/3,
84BECA93,32/103/2,203893
548ACE93,32/208/3,303216
B410CB93,32/213/4,290105
7406F393,32/120/4,
4401D793,32/210/2,454484
543C4994,32/217/2,269293
546FF493,32/217/4,167214
A486D193,32/220/1,8
9407CE93,32/218/2,954455
74B9D993,32/207/2,272313
74F83894,32/114/4,099134
F46B3894,32/203/1,619169
C463CD93,32/104/1,
84E34594,32/112/2,717298
6471F493,32/116/4,
94CACA93,32/204/1,926480
A45BDC93,32/215/2,432234
245CCB93,32/113/1,039575
048CCA93,32/106/4,976538
A4B43E94,32/213/2,368211
34E0E893,32/105/4,
24A0CF93,32/207/3,617853
843DE593,32/205/3,511788
34B7E293,32/108/4,305463
94F3CA93,32/D2/1,
E401D693,32/2/E1/2,
B4D2F293,32/211/4,797229
241ACC93,32/117/3,
649ACC93,32/216/2,058861
64D0D393,32/207/1,633689
24B0D093,32/115/2,534522
74D8EE93,32/210/3,040874
7493CF93,32/202/2,
74DCEE93,32/103/4,686490
3467CC93,32/217/3,815657
6489DB93,32/219/3,9
048CD493,32/120/1,413270
4460CB93,32/112/1,088487
D45FCB93,32/116/3,
E451DE93,32/214/2,738360
84D3CA93,32/114/3,148159
84C0CB93,32/2/E2/2,
04A5CC93,32/216/3,473040
34A44194,32/204/2,301281
E46B3694,32/209/4,
B4D9F193,32/113/4,519887
9439E093,32/203/4,406913
C405D993,32/105/3,
54B6D093,32/114/1,373728
2408D693,32/118/1,714162
B4B1CB93,32/D2/2,
E41ED093,32/101/1,068869
1469CE93,32/201/1,10
1431CC93,32/117/1,
2441D393,32/108/2,124875
D4CDDD93,32/212/2,818087
C4A6F493,32/D2/3,
8454DA93,32/205/2,127910
649B3F94,32/219/2,
D45DDD93,32/115/3,756229
6438E993,32/104/4,
6465DE93,32/104/2,
7410CB93,32/103/1,068218
A4FFDB93,32/211/2,307603
444CDB93,32/1/E2/1,
2461DD93,32/201/2,
44E9CD93,32/110/2,857935
34F7CD93,32/213/3,762295
4425EB93,32/107/4,216841
94653494,32/204/3,693439
748DF493,32/206/3,748290
544BD893,32/111/3,023055
E4DEE893,32/111/4,054762
C41DF493,32/105/1,
544BDA93,32/218/1,173079
E4454794,32/208/1,562652
D471D493,32/116/2,
8406D693,32/116/1,
A43FD393,32/1/E1/3,
B434CF93,33/215/1,12
34DFE093,32/214/1,036585
B4E2D093,32/206/1,846612
D4FFD593,32/206/2,750850
D4F8DA93,32/106/1,900006
B420CC93,32/211/1,982405
8453CB93,32/203/3,970637
A4DCDB93,32/217/1,142471
1453F193,32/207/4,009330
B4F4DA93,32/111/1,775260
2448DB93,32/1/E1/2,
948ED493,32/117/2,
C43FD093,32/105/2,
440ED493,32/109/1,720859
E44CD393,32/202/1,7
34E1E093,32/212/4,879364
D47FDD93,32/205/1,139709
943FD893,32/107/3,772312
54C0D593,32/218/3,083718
9451DB93,32/1/E2/2,
C47FD393,32/208/2,971109
4427EB93,32/2/E2/1,
C4E14294,32/118/2,771679
04C4CA93,32/212/1,785639
D45ADE93,32/114/2,959271
8441E593,32/110/4,606958
B433CF93,32/214/4,618794
2447D593,32/D1/2,
E4E1D293,32/101/2,801886
8402F493,32/209/3,332014
54E4D893,32/210/1,652812
C4F23B94,32/119/3,968428
9441D393,32/214/3,710142
D4CECA93,32/109/2,669595
F4B73594,32/201/3,
3402CE93,32/209/1,112313
A40CE093,33/109/3,
84C7E693,33/206/2,
2481D693,33/113/1,185768
74C0D993,33/105/3,
04C8E093,33/209/1,12
54FFD193,33/115/1,
0409E093,33/219/3,
2461D693,33/2/E1/2,
04533D94,33/108/2,493242
54DD3794,33/1/E2/1,
C4A0E693,33/217/3,402790
2410E493,33/208/3,
549EF193,33/201/2,476158
44FCF393,33/205/1,469354
34B2D693,33/212/3,
E403CB93,33/116/3,486819
E413CC93,33/213/2,
44AFE393,33/218/2,458536
E4B5CF93,33/D1/1,
A4C2D793,33/1/E1/2,
F493CE93,33/213/3,
7449DD93,33/2/E1/3,
3481CC93,33/107/1,151808
D4564294,33/220/3,
B43FE993,33/203/1,410103
D407DD93,33/119/1,496072
C47FD893,33/216/2,
B4B4E393,33/220/2,351831
B4E3E993,33/203/3,
4402CE93,33/113/2,
A49CE493,33/209/3,
34FFDB93,33/212/1,12
5417D993,33/109/2,
D4B8DE93,33/111/1,381655
441CE093,33/216/1,195186
1491CD93,33/119/2,478226
240B4994,33/2/E2/1,
64103594,33/D2/2,
1441ED93,33/119/3,478336
5450F293,33/114/1,472915
1461D693,33/211/2,
9491CE93,33/101/3,
744BE593,33/106/3,
7427D993,33/D1/2,
446C3694,33/118/3,513700
7433E493,33/212/2,
14C2E493,33/204/1,450362
942AD293,33/204/2,317038
B4BEDE93,33/105/2,417366
54444094,33/112/1,229537
241EE593,33/202/3,
A450E193,33/108/1,483792
C47C3994,33/220/1,198041
342AE693,33/204/3,393712
C4AFE193,33/217/2,426197
846EE993,33/110/1,155449
947FD393,33/D1/3,
A41FF493,33/106/1,468285
5465EB93,33/206/1,12
B4753E94,33/112/2,
F487E593,33/207/3,
3477DD93,33/207/1,12
A432CF93,33/208/1,12
F40E3994,33/103/1,392991
24DBE393,33/208/2,
F408CB93,33/211/3,
6497CF93,33/2/E2/3,
849CCB93,33/105/1,372621
24BBEF93,33/102/3,
B41EF193,33/205/2,479476
7478E493,33/111/2,
6482E693,33/210/3,
44B7F493,33/103/3,
B4C74694,33/114/2,464753
04D6F093,33/112/3,
74E3DC93,33/216/3,
140FCF93,33/108/3,
942BE493,33/111/3,
7467DE93,33/1/E2/2,
B4E5D793,33/215/2,
14B4E593,33/219/2,496504
9452E193,33/218/1,399867
9452E196,33/117/1,513020
E444D093,33/118/2,495951
943CCC93,33/1/E1/1,
F4ACE193,33/102/1,495942
