id,nameroom
32105,32/105
32106,32/106
32107,32/107
32108,32/108
32109,32/109
32110,32/110
32111,32/111
32112,32/112
32113,32/113
32114,32/114
32115,32/115
32116,32/116
32117,32/117
32118,32/118
32119,32/119
32120,32/120
32201,32/201
32202,32/202
32203,32/203
32204,32/204
32205,32/205
32206,32/206
32207,32/207
32208,32/208
32209,32/209
32210,32/210
32211,32/211
32212,32/212
32213,32/213
32214,32/214
32215,32/215
32216,32/216
32217,32/217
32218,32/218
32219,32/219
32220,32/220
33101,33/101
33102,33/102
33103,33/103
33104,33/104
33105,33/105
33106,33/106
33107,33/107
33108,33/108
33109,33/109
33110,33/110
33111,33/111
33112,33/112
33113,33/113
33114,33/114
33115,33/115
33116,33/116
33117,33/117
33118,33/118
33119,33/119
33120,33/120
33201,33/201
33202,33/202
33203,33/203
33204,33/204
33205,33/205
33206,33/206
33207,33/207
33208,33/208
33209,33/209
33210,33/210
33211,33/211
33212,33/212
33213,33/213
33214,33/214
33215,33/215
33216,33/216
33217,33/217
33218,33/218
33219,33/219
33220,33/220
34101,34/101
34102,34/102
34103,34/103
34104,34/104
34105,34/105
34106,34/106
34107,34/107
34108,34/108
34109,34/109
34110,34/110
34111,34/111
34112,34/112
34113,34/113
34114,34/114
34115,34/115
34116,34/116
34117,34/117
34118,34/118
34119,34/119
34120,34/120
34201,34/201
34202,34/202
34203,34/203
34204,34/204
34205,34/205
34206,34/206
34207,34/207
34208,34/208
34209,34/209
34210,34/210
34211,34/211
34212,34/212
34213,34/213
34214,34/214
34215,34/215
34216,34/216
34217,34/217
34218,34/218
34219,34/219
34220,34/220
35101,35/101
35102,35/102
35103,35/103
35104,35/104
35105,35/105
35106,35/106
35107,35/107
35108,35/108
35109,35/109
35110,35/110
35111,35/111
35112,35/112
35113,35/113
35114,35/114
35115,35/115
35116,35/116
35117,35/117
35118,35/118
35119,35/119
35120,35/120
35201,35/201
35202,35/202
35203,35/203
35204,35/204
35205,35/205
35206,35/206
35207,35/207
35208,35/208
35209,35/209
35210,35/210
35211,35/211
35212,35/212
35213,35/213
35214,35/214
35215,35/215
35216,35/216
35217,35/217
35218,35/218
35219,35/219
35220,35/220
36101,36/101
36102,36/102
36103,36/103
36104,36/104
36105,36/105
36106,36/106
36107,36/107
36108,36/108
36109,36/109
36110,36/110
36111,36/111
36112,36/112
36113,36/113
36114,36/114
36115,36/115
36116,36/116
36117,36/117
36118,36/118
36119,36/119
36120,36/120
36201,36/201
36202,36/202
36203,36/203
36204,36/204
36205,36/205
36206,36/206
36207,36/207
36208,36/208
36209,36/209
36210,36/210
36211,36/211
36212,36/212
36213,36/213
36214,36/214
36215,36/215
36216,36/216
36217,36/217
36218,36/218
36219,36/219
36220,36/220
